date,rates
26/2/2021,0.07
1/3/2021,0.07
2/3/2021,0.07
3/3/2021,0.07
4/3/2021,0.07
5/3/2021,0.07
8/3/2021,0.07
9/3/2021,0.07
10/3/2021,0.07
11/3/2021,0.07
12/3/2021,0.07
15/3/2021,0.07
16/3/2021,0.07
17/3/2021,0.07
18/3/2021,0.07
19/3/2021,0.07
22/3/2021,0.07
23/3/2021,0.07
24/3/2021,0.07
25/3/2021,0.07
26/3/2021,0.07
29/3/2021,0.07
30/3/2021,0.07
31/3/2021,0.06
1/4/2021,0.07
2/4/2021,0.07
5/4/2021,0.07
6/4/2021,0.07
7/4/2021,0.07
8/4/2021,0.07
9/4/2021,0.07
12/4/2021,0.07
13/4/2021,0.07
14/4/2021,0.07
15/4/2021,0.07
16/4/2021,0.07
19/4/2021,0.07
20/4/2021,0.07
21/4/2021,0.07
22/4/2021,0.07
23/4/2021,0.07
26/4/2021,0.07
27/4/2021,0.07
28/4/2021,0.07
29/4/2021,0.06
30/4/2021,0.05
3/5/2021,0.06
4/5/2021,0.06
5/5/2021,0.06
6/5/2021,0.06
7/5/2021,0.06
10/5/2021,0.06
11/5/2021,0.06
12/5/2021,0.06
13/5/2021,0.06
14/5/2021,0.06
17/5/2021,0.06
18/5/2021,0.06
19/5/2021,0.06
20/5/2021,0.06
21/5/2021,0.06
24/5/2021,0.06
25/5/2021,0.06
26/5/2021,0.06
27/5/2021,0.06
28/5/2021,0.05
1/6/2021,0.06
2/6/2021,0.06
3/6/2021,0.06
4/6/2021,0.06
7/6/2021,0.06
8/6/2021,0.06
9/6/2021,0.06
10/6/2021,0.06
11/6/2021,0.06
14/6/2021,0.06
15/6/2021,0.06
16/6/2021,0.06
17/6/2021,0.1
18/6/2021,0.1
21/6/2021,0.1
22/6/2021,0.1
23/6/2021,0.1
24/6/2021,0.1
25/6/2021,0.1
28/6/2021,0.1
29/6/2021,0.1
30/6/2021,0.08
1/7/2021,0.1
2/7/2021,0.1
6/7/2021,0.1
7/7/2021,0.1
8/7/2021,0.1
9/7/2021,0.1
12/7/2021,0.1
13/7/2021,0.1
14/7/2021,0.1
15/7/2021,0.1
16/7/2021,0.1
19/7/2021,0.1
20/7/2021,0.1
21/7/2021,0.1
22/7/2021,0.1
23/7/2021,0.1
26/7/2021,0.1
27/7/2021,0.1
28/7/2021,0.1
29/7/2021,0.1
30/7/2021,0.07
2/8/2021,0.1
3/8/2021,0.1
4/8/2021,0.1
5/8/2021,0.1
6/8/2021,0.1
9/8/2021,0.1
10/8/2021,0.1
11/8/2021,0.1
12/8/2021,0.1
13/8/2021,0.1
16/8/2021,0.1
17/8/2021,0.1
18/8/2021,0.09
19/8/2021,0.09
20/8/2021,0.09
23/8/2021,0.09
24/8/2021,0.09
25/8/2021,0.09
26/8/2021,0.09
27/8/2021,0.08
30/8/2021,0.08
31/8/2021,0.06
1/9/2021,0.08
